,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
아임웹,9.23585E-06,0.689477255,4997200.563,2.63789E+12,1.25614E+11,354420.3168,288111.407,0.612036652,0.950508056,542.6860306,74652.25274,16.27384457,14.36378844
밸류맵,0.021122511,0.201994789,722134.4298,37412674911,1969088153,44374.40876,35824.82584,0.408488717,0.95003424,412.6158917,9.563010302,10.11980051,4.217264496
미리디,3.38093E-06,0.732379887,4833650,2.59149E+12,1.23404E+11,351289.1869,224771.0959,0.660964619,0.94869657,542.3133324,216620.8355,16.77523824,14.97705694
우리은행,0.000500384,0.537608406,25180972,8.2341E+13,3.921E+12,1980151.893,1626328.49,0.490654209,0.947597402,614.9447328,1074.392636,12.97044562,10.52306338
펫프렌즈,0.002668117,0.319569667,705191,42662485376,2133124269,46185.75829,28110.02055,0.715103299,0.944875983,435.6170707,119.7734966,14.85115239,10.76423905
유니크굿컴퍼니,2.22115E-13,2.104132344,460674.8346,20835322994,1225607235,35008.67371,27183.79334,0.726539886,0.944229307,361.7539384,9.47318E+12,14.20038338,13.57449219
노써치,0.001159601,0.475401999,519428.5546,4466813896,343601068.9,18536.47941,16171.56384,0.475423015,0.944113284,261.5148942,409.9704202,12.62393994,9.860482083
와이오엘오,0.000459621,0.417784861,591586.9081,21327191464,1122483761,33503.48879,17959.11379,0.760582241,0.942451365,401.9373845,908.9758885,16.28788629,13.13911098
아파트너,0.006657687,0.247810878,1613655.597,2.21362E+11,10541045610,102669.5944,82209.40424,0.242314572,0.940183472,490.6493942,37.22176696,14.21351875,9.038192301
부동산플래닛,0.001608325,0.437159088,559542.4788,25681990092,1510705300,38867.79257,26199.63343,1.066549168,0.94012783,365.3093219,271.8102187,12.77465905,9.773164728
브랜디,0.002931937,0.350817523,4543838,2.36796E+12,1.1276E+11,335797.803,267051.5957,0.304630914,0.939676999,540.4191082,119.6538342,13.52539976,9.802544897
비주얼,0.000716065,0.478352359,286758.981,7605694681,422538593.4,20555.74356,16304.27507,0.447153583,0.938992925,363.5122442,668.0293441,13.57704198,10.82804448
메가존클라우드,0.000385769,0.481537129,213187.7626,1559296693,97456043.32,9871.982745,6367.499189,0.413912167,0.938954556,300.3185919,1248.253537,14.79386168,12.06114675
비바리퍼블리카,0.029737584,0.218645148,44847246,2.02359E+14,9.63615E+12,3104214.399,2725749.423,0.170372728,0.937846717,633.8273917,7.35248539,8.032113943,2.729982484
클래스카드,0.00250912,0.407986224,5204442,4.26909E+12,2.0329E+11,450877.117,314852.9811,0.180672363,0.937650542,552.7959048,162.6013162,12.40282349,9.19460708
콘텐츠웨이브,0.005012821,0.227344897,39872020.62,1.05215E+14,5.01022E+12,2238351.947,1721918.898,0.280108093,0.937253389,620.0925174,45.35268183,16.41636585,10.74856232
밀리의서재,0.006662515,0.304441724,5332531,3.30252E+12,1.65126E+11,406356.8632,300728.6922,1.147155341,0.935273605,522.599481,45.69471677,12.28521571,8.052043247
드림어스컴퍼니,0.009125838,0.436120835,4613538,3.57872E+12,1.70415E+11,412813.5471,312831.9813,0.222210518,0.932700193,549.091555,47.78967486,8.684645711,5.726829344
큐리어슬리,0.007457316,0.258236785,288185.6506,10417722280,496082013.3,22272.89863,17200.22889,0.631133985,0.932503097,426.4672882,34.62864842,13.34121196,8.384542288
더브이씨,0.003167838,0.299890925,677992.2361,43778990612,2188949531,46786.2109,31611.66628,0.260324478,0.930696567,436.133752,94.66736968,15.01480878,10.66925585
백패커,0.016071466,0.228287287,11591518.63,1.49774E+13,7.13207E+11,844516.104,660372.3786,0.1913367,0.930544982,579.1538015,14.20450957,10.85927746,5.469833108
네오사피엔스,0.000216603,1.031996599,922497,62235901366,5657809215,75218.41008,56715.80924,0.537464941,0.930099373,253.0193285,4764.450276,8.204639725,6.928781313
레드블루,0.005388847,0.352188497,310750,12874361862,677597992.7,26030.71249,17513.18476,0.974502721,0.929100088,392.34723,65.35507453,11.68931744,8.006315939
디어코퍼레이션,0.002204947,0.853497686,669392,46335969029,3861330752,62139.60695,43282.58779,0.233823896,0.927407566,270.8913326,387.083117,6.963446425,5.424409562
공팔리터,5.88197E-12,1.416186731,1746053.452,3.21085E+11,15289742007,123651.6963,104415.3027,0.778176999,0.927140174,498.4594077,2.40768E+11,18.50539709,17.57546471
키다리스튜디오,4.38693E-13,1.656563969,10414303,1.70516E+13,8.11982E+11,901100.533,763091.546,0.778859866,0.925939467,581.8776286,3.77614E+12,17.48180148,16.68680779
고고밴코리아,0.003907207,0.632706115,354658,13853924803,1065686523,32644.85447,25157.91981,0.359481146,0.924667736,276.2295057,161.9331125,7.991009919,5.922316329
카펜스트리트,0.000129524,0.93785388,412111,17821962071,1370920159,37025.93901,28232.15699,0.49539188,0.924661143,279.503724,7240.768017,9.475095745,8.071064617
콘텐츠퍼스트,2.08034E-13,1.700764147,29373018,1.51944E+14,7.23541E+12,2689870.96,1555921.477,0.87750813,0.924251603,627.8101588,8.17542E+12,17.48164368,16.70731062
딥서치,0.00256037,0.703993827,61836,332717043.4,27726420.28,5265.588313,4671.523291,0.463284386,0.92217415,211.6547558,274.9578231,7.949309105,6.085392789
노티플러스,5.10294E-05,1.261026467,15476558,2.37121E+13,2.15565E+12,1468212.64,916253.9478,0.797479563,0.920073157,318.3902392,24711.77522,8.020946509,6.976634878
모두닥,9.74697E-11,1.48477202,2050043,6.13763E+11,32303331249,179731.2751,147785.3612,0.750182608,0.919480498,465.7702877,15233165100,15.79147538,14.90449888
운칠기삼,0.009579467,0.336288936,2417793,9.18499E+11,43738065108,209136.4748,152419.5744,0.778645527,0.918441225,520.5311769,35.10518123,10.28815787,6.480472969
팬딩,3.35968E-11,1.991225956,597102,53546362938,3346647684,57850.21766,50319.14408,0.734351702,0.917556761,356.8995998,59268309596,12.45732084,11.7959404
토스뱅크,0.029226734,0.224536775,42133355,2.32786E+14,1.10851E+13,3329424.817,2993031.689,0.188361309,0.916056996,636.769025,7.68258186,8.034865521,2.845159952
헬로네이처,0.001619826,0.371760918,473576,33811833506,1610087310,40125.89326,31176.10607,0.365331867,0.915068627,451.1906391,229.5066571,14.55868339,11.03156552
자락당,1.32659E-11,1.671682944,57241.59667,144958898.9,9059931.183,3009.971957,2234.286927,0.81824714,0.914525405,262.3099533,1.26013E+11,15.28977404,14.50197041
한국신용데이터,0.009643562,0.299718187,503509,42001364515,2100068226,45826.50135,34665.25716,1.212910011,0.912986432,435.3047134,31.07961487,11.1085231,6.851507157
앵커리어,0.013168601,0.21520466,2357107.661,7.93992E+11,37809122624,194445.6804,134704.9758,0.181536623,0.911833937,517.4721412,16.34225736,12.2332808,6.466590377
링글잉글리시에듀케이션서비스,0.003247786,0.255422974,354898.5355,12464423522,593543977.2,24362.758,18062.48137,0.333217109,0.911524572,430.2340592,78.64524906,16.87452893,11.78327742
구루미,0.001231114,0.429724141,844362,1.54993E+11,7380618622,85910.52684,56534.79972,0.558226877,0.911247934,483.1645892,349.0531462,13.58661747,10.53071345
